timestamp,is_push_notification,tpm,play_counted
2025-05-03 00:00:00,0,2000,1
2025-05-03 00:05:00,0,1767,313
2025-05-03 00:10:00,0,2000,625
2025-05-03 00:15:00,0,2000,938
2025-05-03 00:20:00,0,1972,1250
2025-05-03 00:25:00,0,1448,1563
2025-05-03 00:30:00,0,1755,1875
2025-05-03 00:35:00,0,1787,2188
2025-05-03 00:40:00,0,1860,2500
2025-05-03 00:45:00,0,2000,2813
2025-05-03 00:50:00,0,2000,3125
2025-05-03 00:55:00,0,1688,3438
2025-05-03 01:00:00,0,213,3750
2025-05-03 01:05:00,0,578,4063
2025-05-03 01:10:00,0,319,4375
2025-05-03 01:15:00,0,157,4688
2025-05-03 01:20:00,0,521,5000
2025-05-03 01:25:00,0,272,5313
2025-05-03 01:30:00,0,979,5625
2025-05-03 01:35:00,0,202,5938
2025-05-03 01:40:00,0,916,6250
2025-05-03 01:45:00,0,902,6563
2025-05-03 01:50:00,0,545,6875
2025-05-03 01:55:00,0,713,7188
2025-05-03 02:00:00,0,57,7500
2025-05-03 02:05:00,0,56,7813
2025-05-03 02:10:00,0,162,8125
2025-05-03 02:15:00,0,178,8438
2025-05-03 02:20:00,0,43,8750
2025-05-03 02:25:00,0,205,9063
2025-05-03 02:30:00,0,188,9375
2025-05-03 02:35:00,0,41,9688
2025-05-03 02:40:00,0,240,10000
2025-05-03 02:45:00,0,188,10313
2025-05-03 02:50:00,0,125,10625
2025-05-03 02:55:00,0,172,10938
2025-05-03 03:00:00,0,193,11250
2025-05-03 03:05:00,0,221,11563
2025-05-03 03:10:00,0,76,11875
2025-05-03 03:15:00,0,96,12188
2025-05-03 03:20:00,0,143,12500
2025-05-03 03:25:00,0,62,12813
2025-05-03 03:30:00,0,155,13125
2025-05-03 03:35:00,0,112,13438
2025-05-03 03:40:00,0,69,13750
2025-05-03 03:45:00,0,157,14063
2025-05-03 03:50:00,0,47,14375
2025-05-03 03:55:00,0,144,14688
2025-05-03 04:00:00,0,109,15000
2025-05-03 04:05:00,0,111,15313
2025-05-03 04:10:00,0,215,15625
2025-05-03 04:15:00,0,175,15938
2025-05-03 04:20:00,0,38,16250
2025-05-03 04:25:00,0,192,16563
2025-05-03 04:30:00,0,115,16875
2025-05-03 04:35:00,0,219,17188
2025-05-03 04:40:00,0,37,17500
2025-05-03 04:45:00,0,43,17813
2025-05-03 04:50:00,0,236,18125
2025-05-03 04:55:00,0,29,18438
2025-05-03 05:00:00,0,105,18750
2025-05-03 05:05:00,0,137,19063
2025-05-03 05:10:00,0,104,19375
2025-05-03 05:15:00,0,126,19688
2025-05-03 05:20:00,0,147,20000
2025-05-03 05:25:00,0,255,20313
2025-05-03 05:30:00,0,50,20625
2025-05-03 05:35:00,0,22,20938
2025-05-03 05:40:00,0,114,21250
2025-05-03 05:45:00,0,149,21563
2025-05-03 05:50:00,0,185,21875
2025-05-03 05:55:00,0,173,22188
2025-05-03 06:00:00,0,126,22500
2025-05-03 06:05:00,0,132,22813
2025-05-03 06:10:00,0,54,23125
2025-05-03 06:15:00,0,255,23438
2025-05-03 06:20:00,0,153,23750
2025-05-03 06:25:00,0,141,24063
2025-05-03 06:30:00,0,128,24375
2025-05-03 06:35:00,0,36,24688
2025-05-03 06:40:00,0,43,25000
2025-05-03 06:45:00,0,152,25313
2025-05-03 06:50:00,0,218,25625
2025-05-03 06:55:00,0,58,25938
2025-05-03 07:00:00,0,881,26250
2025-05-03 07:05:00,0,471,26563
2025-05-03 07:10:00,0,693,26875
2025-05-03 07:15:00,0,229,27188
2025-05-03 07:20:00,0,604,27500
2025-05-03 07:25:00,0,627,27813
2025-05-03 07:30:00,0,290,28125
2025-05-03 07:35:00,0,789,28438
2025-05-03 07:40:00,0,360,28750
2025-05-03 07:45:00,0,458,29063
2025-05-03 07:50:00,0,166,29375
2025-05-03 07:55:00,0,747,29688
2025-05-03 08:00:00,0,660,30000
2025-05-03 08:05:00,0,454,30313
2025-05-03 08:10:00,0,490,30625
2025-05-03 08:15:00,0,670,30938
2025-05-03 08:20:00,0,150,31250
2025-05-03 08:25:00,0,668,31563
2025-05-03 08:30:00,0,877,31875
2025-05-03 08:35:00,0,806,32188
2025-05-03 08:40:00,0,323,32500
2025-05-03 08:45:00,0,857,32813
2025-05-03 08:50:00,0,388,33125
2025-05-03 08:55:00,0,548,33438
2025-05-03 09:00:00,1,1772,33750
2025-05-03 09:05:00,0,2000,34063
2025-05-03 09:10:00,0,2000,34375
2025-05-03 09:15:00,0,2000,34688
2025-05-03 09:20:00,0,2000,35000
2025-05-03 09:25:00,0,2000,35313
2025-05-03 09:30:00,0,2000,35625
2025-05-03 09:35:00,0,2000,35938
2025-05-03 09:40:00,0,2000,36250
2025-05-03 09:45:00,0,2000,36563
2025-05-03 09:50:00,0,2000,36875
2025-05-03 09:55:00,0,2000,37188
2025-05-03 10:00:00,0,321,37500
2025-05-03 10:05:00,0,447,37813
2025-05-03 10:10:00,0,797,38125
2025-05-03 10:15:00,0,732,38438
2025-05-03 10:20:00,0,119,38750
2025-05-03 10:25:00,0,977,39063
2025-05-03 10:30:00,0,799,39375
2025-05-03 10:35:00,0,573,39688
2025-05-03 10:40:00,0,681,40000
2025-05-03 10:45:00,0,377,40313
2025-05-03 10:50:00,0,267,40625
2025-05-03 10:55:00,0,976,40938
2025-05-03 11:00:00,0,382,41250
2025-05-03 11:05:00,0,688,41563
2025-05-03 11:10:00,0,952,41875
2025-05-03 11:15:00,0,717,42188
2025-05-03 11:20:00,0,255,42500
2025-05-03 11:25:00,0,545,42813
2025-05-03 11:30:00,0,185,43125
2025-05-03 11:35:00,0,342,43438
2025-05-03 11:40:00,0,821,43750
2025-05-03 11:45:00,0,272,44063
2025-05-03 11:50:00,0,450,44375
2025-05-03 11:55:00,0,504,44688
2025-05-03 12:00:00,0,2000,45000
2025-05-03 12:05:00,0,1664,45313
2025-05-03 12:10:00,0,2000,45625
2025-05-03 12:15:00,0,1642,45938
2025-05-03 12:20:00,0,1929,46250
2025-05-03 12:25:00,0,1803,46563
2025-05-03 12:30:00,0,1490,46875
2025-05-03 12:35:00,0,1792,47188
2025-05-03 12:40:00,0,1506,47500
2025-05-03 12:45:00,0,1810,47813
2025-05-03 12:50:00,0,1961,48125
2025-05-03 12:55:00,0,2000,48438
2025-05-03 13:00:00,0,449,48750
2025-05-03 13:05:00,0,572,49063
2025-05-03 13:10:00,0,887,49375
2025-05-03 13:15:00,0,607,49688
2025-05-03 13:20:00,0,616,50000
2025-05-03 13:25:00,0,901,50313
2025-05-03 13:30:00,0,341,50625
